college_id,college_code,college_name,name_normalized,state,city,ownership,counselling,courses,annual_intake,fee_govt_quota,fee_private,nmc_approved,source_id,notes
102,,"Autonomous State Medical College, Lalitpur, U.P,Amarpur Galla Mandi Jhansi Road Lalitpur, Uttar Pradesh, 284403",autonomous state medical college lalitpur u p amarpur galla mandi jhansi road lalitpur uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
103,,"Autonomous State Medical College, Pilibhit, Uttar Pradesh",autonomous state medical college pilibhit,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
104,,"Autonomous State Medical College, Pilibhit, Uttar Pradesh,SH26 Bithaura Kalan Puranpur Road Pilibhit, Uttar Pradesh, 262001",autonomous state medical college pilibhit uttar pradesh sh26 bithaura kalan puranpur road pilibhit uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
105,,"Autonomous State Medical College, Pratapgarh,Pure Keshav Rai Gay Ghat Road Pratapgarh, Uttar Pradesh, 230001",autonomous state medical college pratapgarh pure keshav rai gay ghat road pratapgarh uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
106,,"Autonomous state Medical College, Sehud , Auraiya,Sehud Auraiya, Uttar Pradesh, 206122",autonomous state medical college sehud auraiya sehud auraiya uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
107,,"Autonomous State Medical College, Siddharthnagar,Autonomous State Medical College Siddharthnagar 71 Ashok Marg Village Mudila Naugarh Uttar Prade, Uttar Pradesh, 272207",autonomous state medical college siddharthnagar autonomous state medical college siddharthnagar 71 ashok marg village mudila naugarh uttar prade uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
108,,"Autonomous State Medical College Society , Mirzapur",autonomous state medical college society,Unknown,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
109,,Autonomous State Medical college Society Hardoi,autonomous state medical college society hardoi,Unknown,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
110,,"Autonomous State Medical college Society Hardoi,Gaura Danda, Gopamau, Sitapur Road, Hardoi, Uttar Pradesh, 241001",autonomous state medical college society hardoi gaura danda gopamau sitapur road hardoi uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
111,,"Autonomous State Medical college Society Hardoi,Gaura Danda, Sitapur Road, Hardoi, Uttar Pradesh, 241001",autonomous state medical college society hardoi gaura danda sitapur road hardoi uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
112,,"Autonomous State Medical College Society , Mirzapur,MAA VINDHYAVASINI AUTONOMOUS STATE MEDICAL COLLEGE PIPARDARH, VISHUNDERPUR, MIRZAPUR, Uttar Pradesh, 231001",autonomous state medical college society mirzapur maa vindhyavasini autonomous state medical college pipardarh vishunderpur mirzapur uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
