year,college_code,college_name,discipline,course,seat_type,fee_per_annum
2021,D121,"K.G.F. College of Dental Sciences,K.G.F.",DENTAL,BDS,NRI,359900
2021,D121,"K.G.F. College of Dental Sciences,K.G.F.",DENTAL,BDS,OTHERS,359900
2021,D122,"Vydehi Institute of Dental Sciences and Research Centre,Bangalore",DENTAL,BDS,GOVT,95808
2021,D122,"Vydehi Institute of Dental Sciences and Research Centre,Bangalore",DENTAL,BDS,PRIV,668473
2021,D122,"Vydehi Institute of Dental Sciences and Research Centre,Bangalore",DENTAL,BDS,NRI,742450
2021,D122,"Vydehi Institute of Dental Sciences and Research Centre,Bangalore",DENTAL,BDS,OTHERS,742450
2021,D224,"Farooquia Dental College,Mysore",DENTAL,BDS,GOVT,95808
2021,D224,"Farooquia Dental College,Mysore",DENTAL,BDS,PRIV,307450
2021,D224,"Farooquia Dental College,Mysore",DENTAL,BDS,NRI,407450
2021,D224,"Farooquia Dental College,Mysore",DENTAL,BDS,OTHERS,357450
2021,D225,"Sri. Hasanamba Dental College and Hospital,Hassan",DENTAL,BDS,GOVT,95808
2021,D225,"Sri. Hasanamba Dental College and Hospital,Hassan",DENTAL,BDS,PRIV,397450
2021,D225,"Sri. Hasanamba Dental College and Hospital,Hassan",DENTAL,BDS,NRI,427450
2021,D225,"Sri. Hasanamba Dental College and Hospital,Hassan",DENTAL,BDS,OTHERS,427450
2021,D333,"Al-Ameen Dental College,Bijapur",DENTAL,BDS,GOVT,95808
2021,D333,"Al-Ameen Dental College,Bijapur",DENTAL,BDS,PRIV,362450
2021,D333,"Al-Ameen Dental College,Bijapur",DENTAL,BDS,NRI,362450
2021,D333,"Al-Ameen Dental College,Bijapur",DENTAL,BDS,OTHERS,362450
2021,D335,"Maratha Mandal Dental College,Belgaum",DENTAL,BDS,GOVT,95808
2021,D335,"Maratha Mandal Dental College,Belgaum",DENTAL,BDS,PRIV,412450
2021,D335,"Maratha Mandal Dental College,Belgaum",DENTAL,BDS,NRI,462450
2021,D335,"Maratha Mandal Dental College,Belgaum",DENTAL,BDS,OTHERS,462450
2021,D336,"PM Nadagowda Memorial Dental College and Hospital,Bagalkot",DENTAL,BDS,GOVT,95808
2021,D336,"PM Nadagowda Memorial Dental College and Hospital,Bagalkot",DENTAL,BDS,PRIV,412450
2021,D336,"PM Nadagowda Memorial Dental College and Hospital,Bagalkot",DENTAL,BDS,NRI,422450
2021,D336,"PM Nadagowda Memorial Dental College and Hospital,Bagalkot",DENTAL,BDS,OTHERS,422450
2021,D337,"Sri Dharmasthala Manjunatheswara Dental College,Dharwad",DENTAL,BDS,GOVT,95808
2021,D337,"Sri Dharmasthala Manjunatheswara Dental College,Dharwad",DENTAL,BDS,PRIV,469350
2021,D337,"Sri Dharmasthala Manjunatheswara Dental College,Dharwad",DENTAL,BDS,NRI,657450
2021,D337,"Sri Dharmasthala Manjunatheswara Dental College,Dharwad",DENTAL,BDS,OTHERS,549950
2021,D442,"Hyderabad Karnataka Education Societies Dental College,Gulbarga",DENTAL,BDS,GOVT,95808
2021,D442,"Hyderabad Karnataka Education Societies Dental College,Gulbarga",DENTAL,BDS,PRIV,312450
2021,D442,"Hyderabad Karnataka Education Societies Dental College,Gulbarga",DENTAL,BDS,NRI,312450
2021,D442,"Hyderabad Karnataka Education Societies Dental College,Gulbarga",DENTAL,BDS,OTHERS,312450
2021,D443,"Al Badar Dental College and Hospital,Gulbarga",DENTAL,BDS,GOVT,95808
2021,D443,"Al Badar Dental College and Hospital,Gulbarga",DENTAL,BDS,PRIV,252450
2021,D443,"Al Badar Dental College and Hospital,Gulbarga",DENTAL,BDS,NRI,437450
2021,D443,"Al Badar Dental College and Hospital,Gulbarga",DENTAL,BDS,OTHERS,337450
2021,D444,"HKDET`S Dental College Hospital,Humnabad, Bidar Dist",DENTAL,BDS,GOVT,95808
2021,D444,"HKDET`S Dental College Hospital,Humnabad, Bidar Dist",DENTAL,BDS,PRIV,262450
2021,D444,"HKDET`S Dental College Hospital,Humnabad, Bidar Dist",DENTAL,BDS,NRI,312450
2021,D444,"HKDET`S Dental College Hospital,Humnabad, Bidar Dist",DENTAL,BDS,OTHERS,312450
2021,D445,"S.B.Patil Institute for Dental Sciences and Research,Bidar",DENTAL,BDS,GOVT,95808
2021,D445,"S.B.Patil Institute for Dental Sciences and Research,Bidar",DENTAL,BDS,PRIV,287450
2021,D445,"S.B.Patil Institute for Dental Sciences and Research,Bidar",DENTAL,BDS,NRI,402450
2021,D445,"S.B.Patil Institute for Dental Sciences and Research,Bidar",DENTAL,BDS,OTHERS,402450
2021,D446,"Academy of Medical Education Dental College,Raichur",DENTAL,BDS,GOVT,95808
2021,D446,"Academy of Medical Education Dental College,Raichur",DENTAL,BDS,PRIV,362450
2021,D446,"Academy of Medical Education Dental College,Raichur",DENTAL,BDS,NRI,362450
2021,D446,"Academy of Medical Education Dental College,Raichur",DENTAL,BDS,OTHERS,362450
2021,D447,"Navodaya Dental College,Raichur",DENTAL,BDS,GOVT,95808
2021,D447,"Navodaya Dental College,Raichur",DENTAL,BDS,PRIV,312450
2021,D447,"Navodaya Dental College,Raichur",DENTAL,BDS,NRI,312450
2021,D447,"Navodaya Dental College,Raichur",DENTAL,BDS,OTHERS,312450
2021,D448,"Government Dental College and Research Institute,Bellary",DENTAL,BDS,GOVT,49850
2021,D551,"Coorg Institute of Dental Sciences, Coorg District",DENTAL,BDS,GOVT,95808
2021,D551,"Coorg Institute of Dental Sciences, Coorg District",DENTAL,BDS,PRIV,678473
2021,D551,"Coorg Institute of Dental Sciences, Coorg District",DENTAL,BDS,NRI,727950
2021,D551,"Coorg Institute of Dental Sciences, Coorg District",DENTAL,BDS,OTHERS,727950
2021,D555,"K.Venkataramana Gowda Dental College Hospital and Research Centre,Dakshina Kannada",DENTAL,BDS,GOVT,95808
2021,D555,"K.Venkataramana Gowda Dental College Hospital and Research Centre,Dakshina Kannada",DENTAL,BDS,PRIV,362450
2021,D555,"K.Venkataramana Gowda Dental College Hospital and Research Centre,Dakshina Kannada",DENTAL,BDS,NRI,362450
2021,D555,"K.Venkataramana Gowda Dental College Hospital and Research Centre,Dakshina Kannada",DENTAL,BDS,OTHERS,362450
2021,D556,"A.J. Institute of Dental Sciences,Mangalore",DENTAL,BDS,GOVT,95808
2021,D556,"A.J. Institute of Dental Sciences,Mangalore",DENTAL,BDS,PRIV,678473
2021,D556,"A.J. Institute of Dental Sciences,Mangalore",DENTAL,BDS,NRI,712450
2021,D556,"A.J. Institute of Dental Sciences,Mangalore",DENTAL,BDS,OTHERS,712450
